City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
3,Auki,SB,78.62,scattered clouds,-8.7676,160.7034,Auki Motel
4,Raudeberg,NO,52.86,few clouds,61.9875,5.1352,Nordre Silda.
7,Port Alfred,ZA,58.08,scattered clouds,-33.5906,26.891,The Halyards Hotel
9,Vaini,TO,73.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
10,Jamestown,US,72.72,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
11,Dongsheng,CN,66.6,moderate rain,39.8161,109.9776,Crowne Plaza Ordos
13,Avarua,CK,78.85,moderate rain,-21.2078,-159.775,Paradise Inn
14,Taree,AU,58.57,broken clouds,-31.9,152.4667,All Seasons Country Lodge Taree
19,Bela,IN,77.9,few clouds,25.9333,81.9833,Raj Bhawan
20,Khromtau,KZ,74.16,few clouds,50.2503,58.4347,Придорожный сервис Кең Дала
21,Shancheng,CN,72.36,light rain,34.7953,116.0817,Shanxian Golden Dragon Hotel
24,Kyren,RU,55.17,overcast clouds,51.6828,102.1408,"Energetik, Pansionat Ooo ""Grand Baykal"""
25,Tuktoyaktuk,CA,50.0,light rain,69.4541,-133.0374,End of The Road Ltd.
26,Khatanga,RU,64.98,broken clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
30,Skelleftea,SE,51.01,overcast clouds,64.7507,20.9528,Quality Hotel Skellefteå Stadshotell
31,Bingol,TR,73.54,broken clouds,38.8847,40.4939,Vali Konağı
33,Manacapuru,BR,79.38,broken clouds,-3.2997,-60.6206,Novo Hotel
36,Lambarene,GA,75.7,overcast clouds,-0.7001,10.2406,Le Refuge
40,Saint-Philippe,RE,66.22,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
41,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
42,Mount Isa,AU,62.37,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
43,Zhezkazgan,KZ,79.39,clear sky,47.8043,67.7144,Hotel Zumrat
45,Rikitea,PF,69.06,broken clouds,-23.1203,-134.9692,People ThankYou
47,Narsaq,GL,53.82,overcast clouds,60.9167,-46.05,Narsaq Kayak Hostel
49,Korla,CN,76.98,overcast clouds,41.7597,86.1469,Gulisitan Hotel
50,Lebu,CL,52.68,few clouds,-37.6167,-73.65,Hostal Las Lilas
51,Bundaberg,AU,66.49,clear sky,-24.85,152.35,Takalvan Motel
52,Nouadhibou,MR,69.78,clear sky,20.931,-17.0347,El Medina
53,Atuona,PF,77.58,few clouds,-9.8,-139.0333,Villa Enata
55,Nemuro,JP,68.94,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
63,Banda Aceh,ID,79.02,overcast clouds,5.5577,95.3222,Sulthan Hotel International
65,Naze,JP,79.72,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
66,Ilulissat,GL,57.22,broken clouds,69.2167,-51.1,Hotel Arctic
67,Margate,GB,62.04,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
70,Am Timan,TD,72.52,heavy intensity rain,11.0297,20.2827,Palais du chef Canton Salamt
73,Mar Del Plata,AR,54.09,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
74,Busselton,AU,54.19,overcast clouds,-33.65,115.3333,Observatory Guest House
76,Cape Town,ZA,57.11,fog,-33.9258,18.4232,Southern Sun Waterfront Cape Town
77,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
78,Iqaluit,CA,50.7,fog,63.7506,-68.5145,Frobisher Inn
79,Sioux Lookout,CA,79.18,smoke,50.1001,-91.917,Knobby's Fly-In Camps
80,Mwense,ZM,63.16,clear sky,-10.3845,28.698,Mwense Council Guest House
81,Okha,RU,55.06,overcast clouds,53.5739,142.9478,Империя
83,Ginda,IN,66.94,overcast clouds,30.6945,78.4932,Bal uma sankar hotel and restaurant
84,Ende,ID,77.02,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
86,Bredasdorp,ZA,56.28,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
87,Constitucion,CL,56.34,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
88,Saldanha,ZA,56.71,clear sky,-33.0117,17.9442,Blue Bay Lodge
92,Severo-Kurilsk,RU,51.21,overcast clouds,50.6789,156.125,Kak Doma
94,Faanui,PF,79.12,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
95,Castro,BR,51.66,clear sky,-24.7911,-50.0119,CHACARA BAILLY
96,Whitianga,NZ,56.01,broken clouds,-36.8333,175.7,Beachside Resort Whitianga
97,Padang,ID,75.25,moderate rain,-0.9492,100.3543,Mercure Padang
99,Nara,JP,79.92,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
100,Seoul,KR,77.76,clear sky,37.5683,126.9778,롯데호텔 서울
101,Souillac,MU,59.38,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
102,Lagoa,PT,72.12,clear sky,39.05,-27.9833,Casa Das Faias
106,Benguela,AO,70.2,clear sky,-12.5763,13.4055,Hotel Praia Morena
107,Boddam,GB,53.98,broken clouds,57.4667,-1.7833,Palace Hotel
108,Zhigansk,RU,62.38,few clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
110,Waterloo,CA,75.45,scattered clouds,43.4668,-80.5164,Comfort Inn
111,Torbay,CA,67.68,overcast clouds,47.6666,-52.7314,Gallows Cove
112,Hofn,IS,53.47,overcast clouds,64.2539,-15.2082,Hótel Höfn
113,Rio Claro,BR,66.02,clear sky,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
114,Daru,PG,77.4,overcast clouds,-9.0763,143.2092,Daru Lodge
115,Arraial Do Cabo,BR,73.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
118,Nikolskoye,RU,62.78,moderate rain,59.7035,30.7861,Tourist House - Sablino
119,Olinda,BR,73.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
120,East London,ZA,59.68,broken clouds,-33.0153,27.9116,Tu Casa
123,Uchaly,RU,60.37,broken clouds,54.2996,59.4521,"Хостел ""Четыре сезона"""
124,Chaplygin,RU,66.2,scattered clouds,53.2432,39.9629,Mini Otel' Nash Chaplygin
125,Rajauri,IN,74.37,clear sky,33.3833,74.3,Hotel Ashoka
126,Hami,CN,76.73,clear sky,42.8,93.45,Laoyutang Resort
127,Atambua,ID,69.76,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
128,Belyy Yar,RU,66.09,light rain,53.6039,91.3903,Pasportnyy Stol
132,Catamarca,AR,65.59,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
133,Hermanus,ZA,57.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
134,Tiksi,RU,50.22,broken clouds,71.6872,128.8694,Arktika
136,Mahebourg,MU,59.29,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
137,Suslonger,RU,72.32,few clouds,56.3156,48.2531,Otel' Simpla
138,Bethel,US,79.72,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
139,Grand Gaube,MU,59.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
140,Airai,TL,55.47,broken clouds,-8.9266,125.4092,Juvinal Martin
143,Zemio,CF,69.15,overcast clouds,5.0314,25.1361,OCHA Office
144,Buta,CD,71.22,light rain,2.7858,24.73,HOTEL BISO NA BISO
145,Richards Bay,ZA,64.24,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
146,Moose Factory,CA,68.0,overcast clouds,51.2585,-80.6094,Moosonee Lilypad
147,Muros,ES,65.84,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
152,Los Llanos De Aridane,ES,69.55,broken clouds,28.6585,-17.9182,Valle Aridane
153,Dzaoudzi,YT,71.49,clear sky,-12.7887,45.2699,Le Rocher
154,Lubango,AO,55.67,clear sky,-14.9172,13.4925,Hotel Serra da Chela
155,Uberlandia,BR,74.41,clear sky,-18.9186,-48.2772,Hotel Apollo
156,Truro,GB,59.56,few clouds,50.2653,-5.0544,Mannings Hotel
