City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2021-07-27 18:45:13,-46.1927,168.8643,48.47,96,25,0.18
1,Carnarvon,AU,2021-07-27 18:45:13,-24.8667,113.6333,59.07,56,90,4.61
2,Souillac,MU,2021-07-27 18:45:14,-20.5167,57.5167,68.38,94,75,9.22
3,Ilulissat,GL,2021-07-27 18:45:14,69.2167,-51.1,60.82,51,75,5.75
4,Barrow,US,2021-07-27 18:45:14,71.2906,-156.7887,44.62,91,90,10.36
5,Hambantota,LK,2021-07-27 18:45:15,6.1241,81.1185,80.94,89,20,6.91
6,Yellowknife,CA,2021-07-27 18:45:16,62.456,-114.3525,56.32,62,75,5.99
7,Puerto Ayora,EC,2021-07-27 18:45:16,-0.7393,-90.3518,76.96,68,22,10.29
8,Hilo,US,2021-07-27 18:45:16,19.7297,-155.09,78.53,78,90,0.0
9,Kuytun,RU,2021-07-27 18:45:17,54.3419,101.5036,59.81,72,1,1.32
10,Fort Saint James,CA,2021-07-27 18:45:18,54.4333,-124.25,67.69,32,72,5.06
11,Tocopilla,CL,2021-07-27 18:45:18,-22.092,-70.1979,65.05,63,18,10.11
12,Busselton,AU,2021-07-27 18:45:18,-33.65,115.3333,47.05,63,100,14.14
13,Quatre Cocos,MU,2021-07-27 18:45:19,-20.2078,57.7625,68.11,86,95,16.82
14,Gazojak,TM,2021-07-27 18:45:19,41.1875,61.4036,83.17,22,0,19.19
15,Hermanus,ZA,2021-07-27 18:42:00,-34.4187,19.2345,55.8,85,100,21.63
16,Luderitz,NA,2021-07-27 18:45:20,-26.6481,15.1594,57.58,75,0,10.85
17,Novoanninskiy,RU,2021-07-27 18:45:20,50.5287,42.6747,68.16,59,15,6.62
18,Iqaluit,CA,2021-07-27 18:45:20,63.7506,-68.5145,55.13,58,75,6.91
19,Nchelenge,ZM,2021-07-27 18:45:21,-9.3451,28.734,65.43,52,87,4.38
20,Sitka,US,2021-07-27 18:45:22,57.0531,-135.33,60.69,72,75,8.05
21,Ayagoz,KZ,2021-07-27 18:45:22,47.9714,80.4392,58.05,61,0,8.7
22,Rikitea,PF,2021-07-27 18:45:22,-23.1203,-134.9692,74.28,77,100,15.37
23,Hithadhoo,MV,2021-07-27 18:45:23,-0.6,73.0833,80.73,79,100,8.25
24,Otsuchi,JP,2021-07-27 18:45:23,39.3667,141.9,69.84,98,100,11.95
25,Tasiilaq,GL,2021-07-27 18:41:32,65.6145,-37.6368,42.96,78,40,6.78
26,Longyearbyen,SJ,2021-07-27 18:41:16,78.2186,15.6401,46.24,87,75,11.5
27,Fare,PF,2021-07-27 18:45:24,-16.7,-151.0167,78.22,73,71,10.33
28,Bredasdorp,ZA,2021-07-27 18:41:21,-34.5322,20.0403,55.27,88,100,20.71
29,Bonavista,CA,2021-07-27 18:44:56,48.6499,-53.1147,69.8,94,100,13.8
30,Becerril,CO,2021-07-27 18:45:25,9.7041,-73.2793,86.65,59,100,4.88
31,Tarko-Sale,RU,2021-07-27 18:45:25,64.9225,77.785,47.93,79,3,8.21
32,Saint-Philippe,RE,2021-07-27 18:45:25,-21.3585,55.7679,69.39,83,54,12.86
33,Punta Arenas,CL,2021-07-27 18:45:26,-53.15,-70.9167,42.91,93,75,9.22
34,Ushuaia,AR,2021-07-27 18:45:26,-54.8,-68.3,37.06,87,90,4.61
35,New Norfolk,AU,2021-07-27 18:45:27,-42.7826,147.0587,57.92,64,75,1.99
36,Monrovia,LR,2021-07-27 18:45:27,6.3005,-10.7969,76.77,79,100,13.62
37,Faanui,PF,2021-07-27 18:45:27,-16.4833,-151.75,77.99,74,29,8.37
38,Vaini,TO,2021-07-27 18:45:28,-21.2,-175.2,68.16,100,90,6.91
39,Butaritari,KI,2021-07-27 18:45:28,3.0707,172.7902,81.66,71,100,7.76
40,Yatou,CN,2021-07-27 18:45:29,37.15,122.3833,75.09,89,92,4.43
41,Guerrero Negro,MX,2021-07-27 18:45:29,27.9769,-114.0611,80.31,52,0,10.89
42,Arraial Do Cabo,BR,2021-07-27 18:45:29,-22.9661,-42.0278,94.96,51,0,12.66
43,Grindavik,IS,2021-07-27 18:45:30,63.8424,-22.4338,57.15,82,0,17.27
44,Katsuura,JP,2021-07-27 18:45:30,35.1333,140.3,78.12,85,98,10.11
45,Sabang,ID,2021-07-27 18:45:31,5.8933,95.3214,83.55,77,34,19.15
46,Khovu-Aksy,RU,2021-07-27 18:45:31,51.1333,93.6,56.88,92,100,2.82
47,Porto Torres,IT,2021-07-27 18:45:31,40.835,8.3972,82.58,72,0,3.8
48,Aksay,RU,2021-07-27 18:45:32,47.26,39.87,74.25,45,9,8.01
49,Andenes,NO,2021-07-27 18:45:32,69.3143,16.1194,49.98,100,90,10.36
50,Olinda,BR,2021-07-27 18:40:48,-8.0089,-34.8553,78.53,69,40,11.5
51,Jamestown,US,2021-07-27 18:45:23,42.097,-79.2353,85.32,48,75,13.0
52,Albany,US,2021-07-27 18:41:28,42.6001,-73.9662,88.27,59,37,6.11
53,Atuona,PF,2021-07-27 18:45:33,-9.8,-139.0333,78.1,65,35,18.9
54,Ponoka,CA,2021-07-27 18:42:14,52.6768,-113.5815,68.65,54,0,10.85
55,Gobabis,NA,2021-07-27 18:45:34,-22.45,18.9667,50.68,33,0,11.72
56,Ponta Delgada,PT,2021-07-27 18:45:34,37.7333,-25.6667,72.32,88,75,11.5
57,Ribeira Grande,PT,2021-07-27 18:45:34,38.5167,-28.7,77.4,73,40,12.66
58,Atbasar,KZ,2021-07-27 18:45:35,51.8,68.3333,58.91,53,66,4.38
59,Aasiaat,GL,2021-07-27 18:45:35,68.7098,-52.8699,45.0,79,100,3.65
60,Pahrump,US,2021-07-27 18:45:35,36.2083,-115.9839,94.24,41,1,1.01
61,Cornwall,CA,2021-07-27 18:45:36,45.0181,-74.7281,63.28,82,90,3.44
62,Maibong,IN,2021-07-27 18:45:36,25.3,93.1667,75.15,99,100,2.39
63,Laguna,US,2021-07-27 18:45:37,38.421,-121.4238,87.64,20,60,6.93
64,Lagoa,PT,2021-07-27 18:45:37,39.05,-27.9833,71.31,87,100,11.05
65,Akdepe,TM,2021-07-27 18:45:37,42.0551,59.3788,82.4,27,0,10.67
66,San Cristobal,VE,2021-07-27 18:45:38,7.7669,-72.225,80.78,47,24,6.87
67,Bengkulu,ID,2021-07-27 18:45:39,-3.8004,102.2655,73.63,77,1,5.12
68,Haines Junction,CA,2021-07-27 18:42:47,60.7522,-137.5108,53.55,87,100,2.3
69,Avarua,CK,2021-07-27 18:45:39,-21.2078,-159.775,73.45,78,100,2.3
70,Komsomolskiy,UZ,2021-07-27 18:45:39,40.4272,71.7189,83.12,36,40,6.91
71,Igarka,RU,2021-07-27 18:45:40,67.4667,86.5833,56.08,95,100,8.66
72,Cidreira,BR,2021-07-27 18:41:58,-30.1811,-50.2056,52.12,65,100,20.29
73,Kapaa,US,2021-07-27 18:42:24,22.0752,-159.319,80.92,80,40,4.0
74,Ponta Do Sol,PT,2021-07-27 18:45:41,32.6667,-17.1,75.7,76,1,3.51
75,Pisco,PE,2021-07-27 18:41:27,-13.7,-76.2167,68.02,77,9,10.36
76,Joshimath,IN,2021-07-27 18:45:41,30.5667,79.5667,74.14,97,100,1.57
77,Belaya Gora,RU,2021-07-27 18:45:41,68.5333,146.4167,42.01,75,100,11.43
78,Kieta,PG,2021-07-27 18:45:42,-6.2167,155.6333,78.4,84,100,1.63
79,Alice Springs,AU,2021-07-27 18:45:42,-23.7,133.8833,60.35,44,0,5.75
80,Korla,CN,2021-07-27 18:44:58,41.7597,86.1469,88.86,17,2,8.86
81,Moyale,KE,2021-07-27 18:45:43,3.5167,39.0584,69.84,59,90,10.36
82,Bluff,NZ,2021-07-27 18:45:43,-46.6,168.3333,48.79,71,12,18.7
83,Hobart,AU,2021-07-27 18:45:44,-42.8794,147.3294,58.26,63,23,8.01
84,Thompson,CA,2021-07-27 18:44:40,55.7435,-97.8558,71.76,60,75,5.75
85,Havre-Saint-Pierre,CA,2021-07-27 18:45:44,50.2334,-63.5986,70.16,78,75,9.22
86,Kalabo,ZM,2021-07-27 18:45:45,-14.97,22.6814,58.14,31,1,5.44
87,Lucapa,AO,2021-07-27 18:45:45,-8.4192,20.7447,66.38,26,60,2.57
88,Kadaura,IN,2021-07-27 18:45:45,25.9833,79.85,79.74,90,100,12.77
89,Port Elizabeth,ZA,2021-07-27 18:45:46,-33.918,25.5701,62.89,82,0,16.11
90,Orlik,RU,2021-07-27 18:45:46,52.5178,99.825,55.15,92,47,0.51
91,Toccoa,US,2021-07-27 18:45:47,34.5773,-83.3324,92.28,62,1,0.0
92,Singaraja,ID,2021-07-27 18:45:47,-8.112,115.0882,75.42,73,69,2.86
93,East London,ZA,2021-07-27 18:45:47,-33.0153,27.9116,76.14,17,0,10.36
94,Esperance,AU,2021-07-27 18:45:48,-33.8667,121.9,46.24,79,51,17.16
95,Hasaki,JP,2021-07-27 18:45:48,35.7333,140.8333,73.29,83,27,12.75
96,Chokurdakh,RU,2021-07-27 18:45:49,70.6333,147.9167,34.95,85,100,11.9
97,Monkey Bay,MW,2021-07-27 18:45:49,-14.0728,34.9201,68.83,57,7,20.13
98,Cape Town,ZA,2021-07-27 18:43:05,-33.9258,18.4232,57.09,88,90,5.01
99,Dikson,RU,2021-07-27 18:42:36,73.5069,80.5464,52.14,97,100,14.2
100,Marsa Matruh,EG,2021-07-27 18:45:50,31.3525,27.2453,80.8,41,0,12.66
